Date,bitcoin,f1v1n2e30,f1v1n4e30,f1v2n2e30,f1v2n4e30,f1v5n2e30,f1v5n4e30,f1v7n2e30,f1v7n4e30,f2v1n2e30,f2v1n4e30,f2v2n2e30,f2v2n4e30,f2v5n2e30,f2v5n4e30,f2v7n2e30,f2v7n4e30,f5v1n2e30,f5v1n4e30,f5v2n2e30,f5v2n4e30,f5v5n2e30,f5v5n4e30,f5v7n2e30,f5v7n4e30,f7v1n2e30,f7v1n4e30,f7v2n2e30,f7v2n4e30,f7v5n2e30,f7v5n4e30,f7v7n2e30,f7v7n4e30
2017-06-07,2732.16,1157.8617,1296.4862,1824.0697,1198.6588,1261.0178,1167.098,1368.0748,1163.1206,1489.3003,1400.4142,809.3497,730.10156,1008.7081,-142.8516,1094.3871,1409.4915,1354.2006,1299.397,1184.4642,1506.9266,2086.231,1376.7671,988.4904,917.5864,1446.3542,990.2841,1039.8638,1575.8541,1295.0107,1059.1852,1374.8915,1592.2682
2017-06-08,2805.62,1166.3556,1303.4294,1888.2838,1200.3021,1259.4424,1146.2106,1376.7219,1167.4735,1500.5576,1381.8965,767.9133,740.6226,1000.89514,-222.99165,1178.5569,1406.2759,1350.0338,1282.9974,1165.2555,1454.9124,2085.1594,1351.373,987.76025,913.3187,1467.7344,993.9701,1013.01874,1580.6145,1255.4381,1097.3696,1360.0823,1623.6265
2017-06-09,2823.81,1160.9633,1302.4873,1937.9066,1201.7135,1246.9589,1155.267,1388.9895,1175.609,1502.5239,1371.578,741.84564,733.60895,995.08954,-253.79453,1172.857,1398.8231,1356.379,1248.2261,1120.7235,1346.5264,2087.8691,1336.922,986.17194,908.00494,1466.2749,989.93335,1023.1472,1610.7374,1308.5869,1105.1685,1348.1403,1625.5792
2017-06-10,2947.71,1162.5946,1300.7963,1915.3418,1205.493,1245.2937,1166.0541,1374.876,1184.7089,1501.8213,1372.1156,718.6501,741.6406,995.20337,-281.1105,1201.0873,1390.5094,1353.8864,1286.2393,1142.2227,1262.8374,2156.5085,1336.9612,984.3996,897.2089,1482.069,992.5865,1019.9252,1646.1682,1301.7598,1129.3916,1331.9113,1612.0103
2017-06-11,2958.11,1167.5409,1309.6881,2002.2324,1187.6135,1237.0214,1132.9972,1349.8445,1163.9712,1509.5947,1384.4672,769.82336,740.07434,996.4061,-256.34695,1198.8739,1399.2701,1351.2675,1278.4884,1145.7413,1139.1555,2286.0762,1300.5295,984.17584,860.36694,1493.7555,992.168,992.50916,1651.2421,1284.1975,1145.3102,1331.5873,1604.322
2017-06-12,2659.63,1150.9545,1307.1329,2111.048,1121.1686,1281.9045,1142.0414,1334.3408,1139.4348,1558.422,1416.4104,928.9666,670.0727,966.4536,-302.25446,1193.5453,1359.6841,1353.3208,1246.7864,1108.3894,900.1951,2284.4185,1291.294,983.03064,848.23535,1497.5752,984.2862,1021.10156,1643.3641,1292.754,1143.9156,1356.3829,1627.0281
2017-06-13,2717.02,1165.3029,1308.4661,2121.143,1099.0143,1260.1886,1138.4214,1285.9125,1138.8463,1573.856,1426.54,948.34515,597.4382,944.9883,-306.47937,1191.4034,1369.6746,1351.091,1263.9462,1127.8136,819.7844,2335.1401,1293.5375,980.8976,838.9096,1524.2452,980.69763,1032.6433,1679.2689,1309.1683,1177.5704,1393.0212,1632.1757
2017-06-14,2506.37,1158.6996,1307.3787,2107.4165,1090.9309,1263.6182,1140.8613,1289.8568,1127.4478,1569.5646,1441.0845,1047.14,510.3605,938.3019,-383.72675,1168.8333,1340.7715,1358.5525,1252.1467,1121.2941,808.2782,2285.816,1300.9769,979.48944,840.0406,1524.9901,984.9313,998.2211,1697.1033,1335.2441,1191.2507,1394.932,1613.1204
2017-06-15,2464.58,1165.1118,1313.6027,2044.0278,1125.0907,1283.6543,1145.165,1280.6093,1141.9617,1577.3115,1442.1764,1152.3135,503.42303,933.094,-521.9866,1179.0505,1348.697,1379.8682,1177.4911,1099.7042,629.9773,2148.5195,1318.7716,976.3417,821.68713,1535.5322,982.87317,1001.01117,1706.4158,1332.2384,1193.5936,1419.3135,1630.6033
2017-06-16,2518.56,1165.7218,1311.1307,1955.9579,1151.5961,1293.4186,1157.5233,1260.6658,1141.4332,1538.7906,1435.6516,1162.9386,539.5464,952.2925,-589.0296,1124.1729,1376.0212,1386.484,1217.236,1168.3145,533.68085,2113.2505,1369.3921,971.95056,837.5775,1544.6138,980.77466,994.3341,1695.752,1335.8293,1186.7937,1433.5298,1632.5837
