,f1v0_loss,f1v0_val_loss
197,16866664.574303742,75766773.70491803
198,16866356.268929504,75765479.01639344
199,16866048.78840296,75764198.81967214
200,16865740.659921672,75762908.32786885
201,16865433.382071365,75761622.03278689
202,16865124.4185161,75760337.63934426
203,16864817.066470843,75759055.5409836
204,16864509.152632724,75757768.85245901
205,16864201.749564838,75756484.4590164
206,16863893.66797215,75755198.16393442
207,16863585.825391646,75753915.67213115
208,16863278.980635334,75752637.77049181
209,16862971.155896433,75751344.98360656
210,16862663.274477806,75750068.98360656
211,16862356.575065274,75748776.19672132
212,16862047.985095736,75747496.0
213,16861742.022954743,75746220.0
214,16861434.141318537,75744931.40983607
215,16861126.75097911,75743647.01639344
216,16860819.034812883,75742358.4262295
217,16860511.393820714,75741078.22950819
218,16860204.699086163,75739801.83606558
219,16859897.423520453,75738511.3442623
220,16859590.549608354,75737235.3442623
221,16859283.9151436,75735952.85245901
222,16858976.96170583,75734662.36065574
223,16858669.46464317,75733382.16393442
224,16858362.884247173,75732109.96721311
225,16858055.43135335,75730817.5737705
226,16857748.47856832,75729539.27868852
227,16857442.117275894,75728262.8852459
228,16857135.177654482,75726982.68852459
229,16856827.141100958,75725689.90163934
230,16856521.531766754,75724413.90163934
231,16856214.321910355,75723131.40983607
232,16855907.217254136,75721845.1147541
233,16855600.63305048,75720564.91803278
234,16855294.791013926,75719288.52459016
235,16854987.976936467,75718008.32786885
236,16854681.11292428,75716721.63934426
237,16854374.15883377,75715441.44262294
238,16854066.990535248,75714165.04918033
239,16853761.518820714,75712889.04918033
240,16853454.885226283,75711596.26229508
241,16853148.177654482,75710322.16393442
242,16852841.893167973,75709043.86885247
243,16852535.783181027,75707765.5737705
244,16852229.532093123,75706481.18032786
245,16851922.34442994,75705196.78688525
246,16851616.7901436,75703918.49180327
247,16851309.502719756,75702642.09836066
248,16851003.62815492,75701361.90163934
249,16850697.5078329,75700083.60655738
250,16850391.724869452,75698801.1147541
251,16850084.826261967,75697516.72131148
252,16849779.38848999,75696242.22950819
253,16849472.72932985,75694963.93442623
254,16849167.490535248,75693685.63934426
255,16848860.83572672,75692393.24590164
256,16848554.59029591,75691119.14754099
257,16848248.80124021,75689842.75409836
258,16847942.744234115,75688566.36065574
259,16847636.78524804,75687288.4590164
260,16847330.940491732,75686007.86885247
261,16847024.492275894,75684723.47540984
262,16846719.035791993,75683445.18032786
263,16846412.768820714,75682166.8852459
264,16846106.865752827,75680894.68852459
265,16845801.343342036,75679612.19672132
266,16845495.789599653,75678336.19672132
267,16845189.968885988,75677057.50819673
268,16844884.36542646,75675768.91803278
269,16844578.52480418,75674494.4262295
270,16844272.412423845,75673216.52459016
271,16843966.15132724,75671938.22950819
272,16843661.17645779,75670659.93442623
273,16843355.467580505,75669381.63934426
274,16843049.72421671,75668105.24590164
275,16842744.296671018,75666831.14754099
276,16842438.174499564,75665550.55737706
277,16842132.875,75664261.96721311
278,16841827.317232378,75662989.77049181
279,16841521.338011313,75661711.47540984
280,16841217.270234987,75660435.47540984
281,16840911.225630984,75659154.8852459
282,16840606.125435162,75657882.68852459
283,16840300.807114884,75656606.29508197
284,16839995.036444735,75655329.90163934
285,16839689.971388165,75654053.90163934
286,16839384.904264577,75652771.40983607
287,16839079.993690167,75651495.01639344
288,16838774.230526544,75650222.81967214
289,16838468.614882506,75648934.22950819
290,16838163.28840296,75647657.83606558
291,16837858.871301133,75646381.44262294
292,16837552.31005222,75645109.24590164
293,16837247.21453438,75643829.04918033
294,16836942.6205396,75642550.75409836
295,16836637.62173629,75641270.16393442
296,16836331.945169713,75639999.86885247
297,16836027.32669713,75638721.5737705
298,16835721.837249782,75637447.47540984
299,16835417.471714534,75636171.08196722
