Date,Close bitcoin,Close ethereum
2016-04-03,420.9,11.62
2016-04-04,421.44,11.16
2016-04-05,424.03,10.44
2016-04-06,423.41,10.69
2016-04-07,422.74,10.07
2016-04-08,420.35,9.72
2016-04-09,419.41,9.15
2016-04-10,421.56,8.94
2016-04-11,422.48,8.64
2016-04-12,425.19,7.44
2016-04-13,423.73,8.04
2016-04-14,424.28,8.39
2016-04-15,429.71,8.24
2016-04-16,430.57,8.61
2016-04-17,427.4,9.31
2016-04-18,428.59,9.04
2016-04-19,435.51,8.71
2016-04-20,441.39,8.47
2016-04-21,449.42,8.1
2016-04-22,445.74,7.82
2016-04-23,450.28,8.29
2016-04-24,458.55,8.0
2016-04-25,461.43,7.55
2016-04-26,466.09,7.4
2016-04-27,444.69,7.76
2016-04-28,449.01,7.17
2016-04-29,455.1,7.46
2016-04-30,448.32,8.81
2016-05-01,451.88,8.85
2016-05-02,444.67,10.16
2016-05-03,450.3,9.31
2016-05-04,446.72,9.41
2016-05-05,447.98,9.83
2016-05-06,459.6,9.35
2016-05-07,458.54,9.37
2016-05-08,458.55,9.48
2016-05-09,460.48,9.3
2016-05-10,450.89,9.36
2016-05-11,452.73,10.0
2016-05-12,454.77,10.06
2016-05-13,455.67,10.51
2016-05-14,455.67,10.24
2016-05-15,457.57,9.96
2016-05-16,454.16,11.17
2016-05-17,453.78,12.2
2016-05-18,454.62,13.56
2016-05-19,438.71,14.77
2016-05-20,442.68,13.64
2016-05-21,443.19,14.02
2016-05-22,439.32,14.29
2016-05-23,444.15,13.46
2016-05-24,445.98,12.73
2016-05-25,449.6,12.53
2016-05-26,453.38,12.43
2016-05-27,473.46,11.3
2016-05-28,530.04,11.89
2016-05-29,526.23,12.35
2016-05-30,533.86,12.73
2016-05-31,531.39,14.08
2016-06-01,536.92,14.0
2016-06-02,537.97,13.74
2016-06-03,569.19,13.85
2016-06-04,572.73,13.74
2016-06-05,574.98,13.98
2016-06-06,585.54,13.93
2016-06-07,576.6,14.51
2016-06-08,581.65,14.42
2016-06-09,574.63,14.4
2016-06-10,577.47,13.91
2016-06-11,606.73,14.19
2016-06-12,672.78,15.74
2016-06-13,704.38,17.6
2016-06-14,685.56,18.89
2016-06-15,694.47,18.35
2016-06-16,766.31,20.59
2016-06-17,748.91,15.38
2016-06-18,756.23,11.33
2016-06-19,763.78,12.23
2016-06-20,737.23,11.84
2016-06-21,666.65,13.31
2016-06-22,596.12,13.1
2016-06-23,623.98,13.68
2016-06-24,665.3,14.33
2016-06-25,665.12,14.28
2016-06-26,629.37,13.85
2016-06-27,655.28,13.88
2016-06-28,647.0,12.18
2016-06-29,639.89,12.61
2016-06-30,673.34,12.46
2016-07-01,676.3,12.2
2016-07-02,703.7,12.13
2016-07-03,658.66,11.72
2016-07-04,683.66,11.47
2016-07-05,670.63,10.61
2016-07-06,677.33,10.53
2016-07-07,640.56,10.11
2016-07-08,666.52,11.39
2016-07-09,650.96,10.97
2016-07-10,649.36,10.95
2016-07-11,647.66,10.46
2016-07-12,664.55,10.52
2016-07-13,654.47,10.5
2016-07-14,658.08,11.51
2016-07-15,663.26,11.95
2016-07-16,660.77,11.65
2016-07-17,679.46,11.16
2016-07-18,673.11,11.03
2016-07-19,672.86,11.62
2016-07-20,665.68,12.45
2016-07-21,665.01,12.65
2016-07-22,650.62,14.66
2016-07-23,655.56,14.3
2016-07-24,661.28,12.75
2016-07-25,654.1,13.84
2016-07-26,651.78,11.99
2016-07-27,654.35,12.97
2016-07-28,655.03,12.84
2016-07-29,656.99,12.79
2016-07-30,655.05,12.46
2016-07-31,624.68,11.88
2016-08-01,606.27,10.94
2016-08-02,547.47,8.79
2016-08-03,566.35,10.29
2016-08-04,578.29,11.04
2016-08-05,575.04,10.93
2016-08-06,587.78,10.88
2016-08-07,592.69,10.91
2016-08-08,591.05,11.25
2016-08-09,587.8,12.24
2016-08-10,592.1,12.14
2016-08-11,589.12,11.69
2016-08-12,587.56,11.78
2016-08-13,585.59,11.57
2016-08-14,570.47,11.19
2016-08-15,567.24,11.22
2016-08-16,577.44,11.14
2016-08-17,573.22,10.75
2016-08-18,574.32,10.76
2016-08-19,575.63,10.75
2016-08-20,581.7,11.25
2016-08-21,581.31,11.18
2016-08-22,586.75,11.12
2016-08-23,583.41,11.03
2016-08-24,580.18,11.04
2016-08-25,577.76,11.36
2016-08-26,579.65,11.3
2016-08-27,569.95,11.15
2016-08-28,573.91,10.93
2016-08-29,574.11,10.98
2016-08-30,577.5,11.23
2016-08-31,575.47,11.67
2016-09-01,572.3,11.99
2016-09-02,575.54,12.11
2016-09-03,598.21,11.76
2016-09-04,608.63,11.68
2016-09-05,606.59,11.72
2016-09-06,610.44,11.69
2016-09-07,614.54,11.55
2016-09-08,626.32,11.35
2016-09-09,622.86,11.65
2016-09-10,623.51,12.17
2016-09-11,606.72,11.64
2016-09-12,608.24,11.89
2016-09-13,609.24,11.92
2016-09-14,610.68,11.92
2016-09-15,607.16,11.94
2016-09-16,606.97,12.56
2016-09-17,605.98,12.7
2016-09-18,609.87,12.43
2016-09-19,609.23,13.19
2016-09-20,608.31,14.43
2016-09-21,597.15,13.77
2016-09-22,596.3,13.25
2016-09-23,602.84,13.33
2016-09-24,602.63,12.88
2016-09-25,600.83,13.1
2016-09-26,608.04,12.82
2016-09-27,606.17,13.1
2016-09-28,604.73,13.27
2016-09-29,605.69,13.07
2016-09-30,609.73,13.22
2016-10-01,613.98,13.17
2016-10-02,610.89,13.2
2016-10-03,612.13,13.45
2016-10-04,610.2,13.28
2016-10-05,612.51,13.04
2016-10-06,613.02,12.85
2016-10-07,617.12,12.67
2016-10-08,619.11,12.22
2016-10-09,616.75,12.05
2016-10-10,618.99,11.76
2016-10-11,641.07,11.79
2016-10-12,636.19,11.93
2016-10-13,636.79,11.96
2016-10-14,640.38,11.94
2016-10-15,638.65,11.98
2016-10-16,641.63,11.95
2016-10-17,639.19,12.01
2016-10-18,637.96,12.59
2016-10-19,630.52,12.02
2016-10-20,630.86,12.1
2016-10-21,632.83,12.18
2016-10-22,657.29,12.07
2016-10-23,657.07,12.04
2016-10-24,653.76,11.97
2016-10-25,657.59,11.41
2016-10-26,678.3,11.53
2016-10-27,688.31,11.5
2016-10-28,689.65,11.09
2016-10-29,714.48,10.44
2016-10-30,701.86,11.18
2016-10-31,700.97,11.0
2016-11-01,729.79,10.77
2016-11-02,740.83,10.75
2016-11-03,688.7,10.8
2016-11-04,703.23,11.09
2016-11-05,703.42,11.0
2016-11-06,711.52,10.87
2016-11-07,703.13,10.81
2016-11-08,709.85,10.83
2016-11-09,723.27,10.66
2016-11-10,715.53,10.52
2016-11-11,716.41,10.29
2016-11-12,705.05,9.88
2016-11-13,702.03,10.1
2016-11-14,705.02,9.97
2016-11-15,711.62,10.22
2016-11-16,744.2,10.06
2016-11-17,740.98,9.99
2016-11-18,751.59,9.48
2016-11-19,751.62,9.66
2016-11-20,731.03,9.58
2016-11-21,739.25,9.62
2016-11-22,751.35,9.91
2016-11-23,744.59,9.84
2016-11-24,740.29,9.23
2016-11-25,741.65,9.4
2016-11-26,735.38,9.33
2016-11-27,732.03,9.0
2016-11-28,735.81,8.72
2016-11-29,735.6,8.17
2016-11-30,745.69,8.59
2016-12-01,756.77,8.45
2016-12-02,777.94,7.76
2016-12-03,771.16,7.92
2016-12-04,773.87,7.44
2016-12-05,758.7,6.82
2016-12-06,764.22,7.87
2016-12-07,768.13,8.38
2016-12-08,770.81,8.23
2016-12-09,772.79,8.45
2016-12-10,774.65,8.13
2016-12-11,769.73,8.19
2016-12-12,780.09,8.52
2016-12-13,780.56,8.42
2016-12-14,781.48,8.27
2016-12-15,778.09,7.83
2016-12-16,784.91,7.86
2016-12-17,790.83,7.88
2016-12-18,790.53,7.87
2016-12-19,792.71,7.64
2016-12-20,800.88,7.66
2016-12-21,834.28,7.91
2016-12-22,864.54,7.59
2016-12-23,921.98,7.17
2016-12-24,898.82,7.27
2016-12-25,896.18,7.18
2016-12-26,907.61,7.27
2016-12-27,933.2,7.17
2016-12-28,975.92,7.52
2016-12-29,973.5,8.28
2016-12-30,961.24,8.16
2016-12-31,963.74,7.97
2017-01-01,998.33,8.17
2017-01-02,1021.75,8.38
2017-01-03,1043.84,9.73
2017-01-04,1154.73,11.25
2017-01-05,1013.38,10.25
2017-01-06,902.2,10.25
2017-01-07,908.59,9.87
2017-01-08,911.2,10.29
2017-01-09,902.83,10.33
2017-01-10,907.68,10.55
2017-01-11,777.76,9.72
2017-01-12,804.83,9.86
2017-01-13,823.98,9.77
2017-01-14,818.41,9.65
2017-01-15,821.8,9.9
2017-01-16,831.53,9.64
2017-01-17,907.94,10.3
2017-01-18,886.62,10.23
2017-01-19,899.07,10.4
2017-01-20,895.03,10.6
2017-01-21,921.79,10.91
2017-01-22,924.67,10.7
2017-01-23,921.01,10.82
2017-01-24,892.69,10.63
2017-01-25,901.54,10.57
2017-01-26,917.59,10.59
2017-01-27,919.75,10.54
2017-01-28,921.59,10.56
2017-01-29,919.5,10.48
2017-01-30,920.38,10.57
2017-01-31,970.4,10.73
2017-02-01,989.02,10.73
2017-02-02,1011.8,10.82
2017-02-03,1029.91,11.11
2017-02-04,1042.9,11.43
2017-02-05,1027.34,11.35
2017-02-06,1038.15,11.39
2017-02-07,1061.35,11.52
2017-02-08,1063.07,11.43
2017-02-09,994.38,11.03
2017-02-10,988.67,11.28
2017-02-11,1004.45,11.35
2017-02-12,999.18,11.4
2017-02-13,990.64,11.27
2017-02-14,1004.55,13.03
2017-02-15,1007.48,12.92
2017-02-16,1027.44,12.9
2017-02-17,1046.21,12.68
2017-02-18,1054.42,12.81
2017-02-19,1047.87,12.76
2017-02-20,1079.98,12.43
2017-02-21,1115.3,12.67
2017-02-22,1117.44,12.6
2017-02-23,1166.72,13.12
2017-02-24,1173.68,13.07
2017-02-25,1143.84,13.55
2017-02-26,1165.2,14.52
2017-02-27,1179.97,15.4
2017-02-28,1179.97,15.82
2017-03-01,1222.5,17.35
2017-03-02,1251.01,19.03
2017-03-03,1274.99,19.46
2017-03-04,1255.15,18.62
2017-03-05,1267.12,19.3
2017-03-06,1272.83,19.61
2017-03-07,1223.54,18.89
2017-03-08,1150.0,16.65
2017-03-09,1188.49,17.75
2017-03-10,1116.72,19.33
2017-03-11,1175.83,21.47
2017-03-12,1221.38,23.44
2017-03-13,1231.92,28.59
2017-03-14,1240.0,28.65
2017-03-15,1249.61,35.06
2017-03-16,1187.81,46.35
2017-03-17,1100.23,46.83
2017-03-18,973.82,34.16
2017-03-19,1036.74,44.74
2017-03-20,1054.23,43.39
2017-03-21,1120.54,43.15
2017-03-22,1049.14,42.34
2017-03-23,1038.59,43.68
2017-03-24,937.52,53.11
2017-03-25,972.78,51.25
2017-03-26,966.72,50.52
2017-03-27,1045.77,49.67
2017-03-28,1047.15,50.77
2017-03-29,1039.97,53.13
2017-03-30,1026.43,52.21
2017-03-31,1071.79,50.04
2017-04-01,1080.5,50.7
2017-04-02,1102.17,48.75
2017-04-03,1143.81,44.36
2017-04-04,1133.25,44.64
2017-04-05,1124.78,45.3
2017-04-06,1182.68,43.24
2017-04-07,1176.9,42.16
2017-04-08,1175.95,44.31
2017-04-09,1187.87,43.27
2017-04-10,1187.13,43.44
2017-04-11,1205.01,43.41
2017-04-12,1200.37,46.29
2017-04-13,1169.28,50.22
2017-04-14,1167.54,47.57
2017-04-15,1172.52,49.1
2017-04-16,1182.94,48.72
2017-04-17,1193.91,48.3
2017-04-18,1211.67,50.71
2017-04-19,1210.29,48.31
2017-04-20,1229.08,49.67
2017-04-21,1222.05,48.22
2017-04-22,1231.71,48.55
2017-04-23,1207.21,48.49
2017-04-24,1250.15,50.03
2017-04-25,1265.49,49.89
2017-04-26,1281.08,52.72
2017-04-27,1317.73,62.17
2017-04-28,1316.48,70.16
2017-04-29,1321.79,68.38
2017-04-30,1347.89,79.02
2017-05-01,1421.6,76.3
2017-05-02,1452.82,77.26
2017-05-03,1490.09,79.72
2017-05-04,1537.67,96.98
2017-05-05,1555.45,94.4
2017-05-06,1578.8,97.81
2017-05-07,1596.71,94.01
2017-05-08,1723.35,91.42
2017-05-09,1755.36,91.16
2017-05-10,1787.13,89.52
2017-05-11,1848.57,89.88
2017-05-12,1724.24,88.66
2017-05-13,1804.91,90.84
2017-05-14,1808.91,90.79
2017-05-15,1738.43,92.41
2017-05-16,1734.45,89.44
2017-05-17,1839.09,89.86
2017-05-18,1888.65,96.91
2017-05-19,1987.71,129.53
2017-05-20,2084.73,126.52
2017-05-21,2041.2,157.94
2017-05-22,2173.4,174.26
2017-05-23,2320.42,181.95
2017-05-24,2443.64,190.05
2017-05-25,2304.98,174.45
2017-05-26,2202.42,160.4
2017-05-27,2038.87,157.76
2017-05-28,2155.8,170.51
2017-05-29,2255.61,194.91
2017-05-30,2175.47,231.91
2017-05-31,2286.41,230.67
2017-06-01,2407.88,222.24
2017-06-02,2488.55,223.77
2017-06-03,2515.35,224.38
2017-06-04,2511.81,245.33
2017-06-05,2686.81,248.46
2017-06-06,2863.2,264.47
2017-06-07,2732.16,258.07
2017-06-08,2805.62,261.67
2017-06-09,2823.81,281.74
2017-06-10,2947.71,337.67
2017-06-11,2958.11,340.61
2017-06-12,2659.63,401.49
2017-06-13,2717.02,397.54
2017-06-14,2506.37,359.05
2017-06-15,2464.58,361.93
2017-06-16,2518.56,370.23
2017-06-17,2655.88,379.41
2017-06-18,2548.29,371.46
2017-06-19,2589.6,370.06
2017-06-20,2721.79,359.01
2017-06-21,2689.1,336.87
2017-06-22,2705.41,336.37
2017-06-23,2744.91,341.74
2017-06-24,2608.72,323.7
2017-06-25,2589.41,303.25
2017-06-26,2478.45,272.69
2017-06-27,2552.45,293.09
2017-06-28,2574.79,327.93
2017-06-29,2539.32,302.88
2017-06-30,2480.84,294.92
2017-07-01,2434.55,274.6
2017-07-02,2506.47,287.99
2017-07-03,2564.06,282.9
2017-07-04,2601.64,273.3
2017-07-05,2601.99,268.77
2017-07-06,2608.56,270.55
2017-07-07,2518.66,245.99
2017-07-08,2571.34,251.7
2017-07-09,2518.44,242.14
2017-07-10,2372.56,215.36
2017-07-11,2337.79,197.4
2017-07-12,2398.84,230.77
2017-07-13,2357.9,209.73
2017-07-14,2233.34,199.66
2017-07-15,1998.86,170.65
2017-07-16,1929.82,157.36
2017-07-17,2228.41,193.42
2017-07-18,2318.88,234.39
2017-07-19,2273.43,199.7
2017-07-20,2817.6,227.26
2017-07-21,2667.76,218.3
2017-07-22,2810.12,229.48
2017-07-23,2730.4,225.95
2017-07-24,2754.86,224.71
2017-07-25,2576.48,206.71
2017-07-26,2529.45,203.95
2017-07-27,2671.78,204.32
2017-07-28,2809.01,193.12
2017-07-29,2726.45,205.79
2017-07-30,2757.18,197.98
2017-07-31,2875.34,203.87
2017-08-01,2718.26,226.77
2017-08-02,2710.67,219.95
2017-08-03,2804.73,225.34
2017-08-04,2895.89,223.07
2017-08-05,3252.91,256.51
2017-08-06,3213.94,261.57
2017-08-07,3378.94,269.18
2017-08-08,3419.94,296.77
2017-08-09,3342.47,296.03
2017-08-10,3381.28,295.89
2017-08-11,3650.62,308.86
2017-08-12,3884.71,310.6
2017-08-13,4073.26,298.06
2017-08-14,4325.13,300.1
2017-08-15,4181.93,289.82
2017-08-16,4376.63,302.27
2017-08-17,4331.69,301.46
2017-08-18,4160.62,295.59
2017-08-19,4193.7,297.47
2017-08-20,4087.66,301.43
2017-08-21,4001.74,321.59
2017-08-22,4100.52,314.79
2017-08-23,4151.52,317.52
2017-08-24,4334.68,325.61
2017-08-25,4371.6,331.92
2017-08-26,4352.4,333.88
2017-08-27,4382.88,347.89
2017-08-28,4382.66,347.75
2017-08-29,4579.02,370.67
2017-08-30,4565.3,378.48
2017-08-31,4703.39,383.04
2017-09-01,4892.01,387.74
2017-09-02,4578.77,348.98
2017-09-03,4582.96,347.48
2017-09-04,4236.31,295.17
2017-09-05,4376.53,312.99
2017-09-06,4597.12,334.34
2017-09-07,4599.88,329.43
2017-09-08,4228.75,296.5
2017-09-09,4226.06,294.4
2017-09-10,4122.94,288.75
2017-09-11,4161.27,294.53
2017-09-12,4130.81,291.46
2017-09-13,3882.59,277.11
2017-09-14,3154.95,213.91
2017-09-15,3637.52,250.46
2017-09-16,3625.04,246.52
2017-09-17,3582.88,251.75
2017-09-18,4065.2,293.5
2017-09-19,3924.97,282.8
2017-09-20,3905.95,283.74
2017-09-21,3631.04,258.58
2017-09-22,3630.7,264.31
2017-09-23,3792.4,286.17
2017-09-24,3682.84,282.48
2017-09-25,3926.07,292.33
2017-09-26,3892.35,287.44
2017-09-27,4200.67,306.47
2017-09-28,4174.73,299.15
2017-09-29,4163.07,291.47
2017-09-30,4338.71,301.46
2017-10-01,4403.74,302.34
2017-10-02,4409.32,297.48
2017-10-03,4317.48,292.46
2017-10-04,4229.36,292.66
2017-10-05,4328.41,295.86
2017-10-06,4370.81,308.59
2017-10-07,4426.89,311.12
2017-10-08,4610.48,308.61
2017-10-09,4772.02,297.39
2017-10-10,4781.99,299.87
2017-10-11,4826.48,303.46
2017-10-12,5446.91,304.14
2017-10-13,5647.21,338.76
2017-10-14,5831.79,339.63
2017-10-15,5678.19,336.6
2017-10-16,5725.59,333.38
2017-10-17,5605.51,317.08
2017-10-18,5590.69,314.32
2017-10-19,5708.52,308.09
